"","group.1","group.2","group.3","group.4","Metastudy","original study","Species","J/h","weight [mg]","Temperature  [°C]"
"1193","1193 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","0.174871","266.800000","10.0"
"1194","1194 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","0.238990","417.950000","5.0"
"1195","1195 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","0.215674","265.380000","5.0"
"1196","1196 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","1.366905","1213.130000","5.0"
"1197","1197 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","1.063796","953.690000","5.0"
"1198","1198 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","2.054729","5245.620000","5.0"
"1199","1199 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","1.693330","2652.760000","5.0"
"1200","1200 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","1.827397","3101.520000","5.0"
"1201","1201 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","1.917747","1297.640000","20.0"
"1202","1202 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","1.716646","1178.260000","20.0"
"1203","1203 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","0.862695","290.440000","20.0"
"1204","1204 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","1.381477","730.590000","20.0"
"1205","1205 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","2.357838","3560.380000","20.0"
"1206","1206 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","3.482838","4837.760000","20.0"
"1207","1207 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","2.550195","3824.670000","20.0"
"1208","1208 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","4.054082","6234.100000","20.0"
"1209","1209 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","2.931996","4085.950000","20.0"
"1210","1210 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","6.994822","4653.300000","20.0"
"1211","1211 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","1.043394","1482.510000","10.0"
"1212","1212 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","0.851037","1569.200000","10.0"
"1213","1213 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","0.378886","406.930000","10.0"
"1214","1214 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","0.475065","458.030000","10.0"
"1215","1215 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","2.197540","2682.140000","10.0"
"1216","1216 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","2.264574","6610.040000","10.0"
"1217","1217 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","2.480247","4411.200000","15.0"
"1218","1218 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","3.034004","5808.300000","15.0"
"1219","1219 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","2.386983","4841.000000","15.0"
"1220","1220 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","3.375002","5191.100000","15.0"
"1221","1221 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","3.240934","4054.700000","15.0"
"1222","1222 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","2.978628","2459.800000","15.0"
"1223","1223 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","1.352332","940.100000","15.0"
"1224","1224 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","1.352332","1168.000000","15.0"
"1225","1225 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","2.299548","1184.100000","15.0"
"1226","1226 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","1.541775","782.500000","15.0"
"1227","1227 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","2.331607","1090.200000","20.0"
"1228","1228 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","2.442359","1081.400000","20.0"
"1229","1229 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","3.229276","2176.200000","20.0"
"1230","1230 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","3.010688","1632.800000","20.0"
"1231","1231 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","1.186205","364.200000","20.0"
"1232","1232 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","1.142488","382.100000","20.0"
"1233","1233 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","0.955959","344.000000","20.0"
"1234","1234 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","1.011335","402.400000","20.0"
"1235","1235 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","0.833550","679.800000","10.0"
"1236","1236 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","1.911918","1348.500000","10.0"
"1237","1237 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","0.734456","898.700000","10.0"
"1238","1238 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","1.847799","1127.900000","10.0"
"1239","1239 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","1.014249","377.900000","10.0"
"1240","1240 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","0.297280","253.910000","14.6"
"1241","1241 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","0.346827","235.190000","14.6"
"1242","1242 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","0.396373","355.430000","14.6"
"1243","1243 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","0.204016","65.180000","14.6"
"1244","1244 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","1.177462","624.490000","14.6"
"1245","1245 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","0.588731","232.670000","14.6"
"1246","1246 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","2.153822","2644.100000","14.6"
"1247","1247 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","3.170986","835.430000","24.8"
"1248","1248 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","2.663861","1675.720000","24.8"
"1249","1249 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Dendrobaena veneta","2.133421","1442.860000","24.8"
"1250","1250 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","1.291128","334.030000","24.8"
"1251","1251 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Lumbricus terrestris","4.572865","4995.300000","24.8"
"1252","1252 Annelida","Clitellata","Lumbricida","Lumbricida","this study","this study","Eisenia foetida","0.090350","42.200000","14.6"
